event_id,event_monster,land_id
3200001,2603101,[1603001]
3200002,2603102,[1603001]
3200003,2603103,[1603001]
3200004,2603104,[1603001]
3200005,2603105,[1603001]
3200006,2603106,[1603001]
3200007,2603107,[1603001]
3200008,2603108,[1603001]
3200009,2603109,[1603001]
3200010,2603110,[1603001]
3200011,2603111,[1603001]
3200012,2603112,[1603001]
3200013,2603113,[1603001]
3200014,2603114,[1603001]
3200015,2603115,[1603001]
3200016,2603116,[1602001]
3200017,2603117,[1602001]
3200018,2603118,[1602001]
3200019,2603119,[1602001]
3200020,2603120,[1602001]
3200021,2603121,[1602001]
3200022,2603122,[1602001]
3200023,2603123,[1602001]
3200024,2603124,[1602001]
3200025,2603125,[1602001]
3200026,2603126,[1601001]
3200027,2603127,[1601001]
3200028,2603128,[1601001]
3200029,2603129,[1601001]
3200030,2603130,[1601001]
3200031,2605101,"[1601001,1602001,1603001]"
3200032,2605101,"[1601001,1602001,1603001]"
3200033,2605101,"[1601001,1602001,1603001]"
3200034,2603101,"[1601001,1602001,1603001]"
3200035,2603101,"[1601001,1602001,1603001]"
3200036,2603101,"[1601001,1602001,1603001]"
3200037,2603101,"[1601001,1602001,1603001]"
