key,value
16010010,草原
16020010,荒原
16030010,沙漠
16040010,绿洲
16050010,丛林
16060010,山地
16070010,沼泽
16080010,湖泊
16010011,宽广的草原
16020011,荒凉的平原
16030011,一望无际的沙漠
16040011,沙漠中的生命绿舟
16050011,茂密的丛林
16060011,产出石头的主要地形
16070011,恐怖的澡泽，会大面积减低部队的移动速度
16080011,广阔的湖泊让人看上去内心平静
15010010,升级
15010020,详情
15010030,进攻
15010040,购买
15010050,出售
15010060,撤单
15010070,放弃
15010080,训练
15010090,收藏
15010100,移动
15020010,瞭望塔查看
15030010,领主府增益
15030020,领主府查看
15030030,修建城堡
15040010,城墙维修
15050010,学院研究
15060010,进入城市
15070010,(我)领地修建
15070020,(我)领地拆除
15070030,(我)领地派遣
15080010,(敌)领地侦查
15010110,取消
15010120,加速
15010130,金币加速
15010140,使用土地券
15010150,使用效率卡
15010160,出征
15010170,我的部队
15010180,砍伐树木
15010190,挖掘石头
11010010,粮食
11010020,木头
11010030,石头
11010040,人口
11020010,铁矿
11020020,马匹
11020030,赤铜
11020040,铁木
11030010,黄金
11030020,泉水
14010010,资源
14010020,敌人
14010030,盟友
14010040,其他
19010010,领主府
19020010,马厩
19020020,兵营
19020030,弓手
19020040,器械
19030010,学院
19040010,民房
19050010,瞭望塔
19060010,仓库
19070010,城墙
19130010,箭塔
19130020,箭塔
19090010,军团集结
19100010,交易市场
19110010,活动建筑
19120010,武将酒馆
19150010,铁匠铺
19010011,城市的核心建筑物
19020011,训练骑兵的营地
19020021,训练步兵的营地
19020031,训练弓手的营地
19020041,建造器械的营地
19030011,研究科技的建筑物
19040011,产出人口的建筑物
19050011,侦查敌情与反侦查的建筑物
19060011,存储资源的主要建筑物
19070011,主城主要防守建筑物
19130011,主城防守时攻击建筑物
19130021,主城防守时攻击建筑物
19090011,部队出征与集结的营地
19100011,所有物资交易的建筑物
19110011,各类活动的建筑物
19120011,武将们最喜欢集结在此
19150011,武将装备锻造所
13010010,粮食增产
13010020,伐木增产
13010030,石材增产
13010040,铁矿
13010050,马匹
13010060,赤铜
13010070,铁木
13020010,互克加深
13020020,暴击几率
13020030,暴击伤害
13020040,伤兵几率
13020050,侦察时间
13020060,闪避几率
13020070,互克减弱
13030010,人口上限
13030020,生产速度
13030030,建筑速度
13040010,城墙耐久
13040020,城墙防御
13040030,箭塔攻击
13040040,箭塔耐久
13040050,箭塔防御
13010011,增加粮食的产量按百分比提高
13010021,增加木材的产量按百分比提高
13010031,增加石材的产量按百分比提高
13010041,增加铁矿的产量按百分比提高
13010051,增加马匹的产量按百分比提高
13010061,增加赤铜的产量按百分比提高
13010071,增加铁木的产量按百分比提高
13020011,我方部队对敌方部队克制伤害加强
13020021,我方部队对敌方部队暴击几率加强
13020031,我方部队对敌方部队暴击伤害加强
13020041,我方部队对敌方部队伤兵几率加强
13020051,我方部队对敌方部队侦察时间缩短
13020061,我方部队对敌方部队闪避几率加强
13020071,敌方部队对我方部队克制伤害减弱
13030011,总人口的上限增加
13030021,总人口的生产速度增加
13030031,总人口的建筑速度增加
13040011,城墙的总城防值提升
13040021,城墙的总防御值提升
13040031,箭塔的总攻击值提升
13040041,箭塔的总血量值提升
13040051,箭塔的总防御值提升
20010010,5分钟加速
20010020,1小时加速
20010030,8小时加速
20020010,5分钟训练加速
20020020,1小时训练加速
20020030,8小时训练加速
20030010,5分钟建筑加速
20030020,1小时建筑加速
20030030,8小时建筑加速
20040010,5分钟研究加速
20040020,1小时研究加速
20040030,8小时研究加速
20010011,可以用在任何地方的加速道具
20010021,可以用在任何地方的加速道具
20010031,可以用在任何地方的加速道具
20020011,只能在训练部队时使用的加速道具
20020021,只能在训练部队时使用的加速道具
20020031,只能在训练部队时使用的加速道具
