id,name,trigger_type,delay,condition,effect_type,effect_params,times,open,status
2,name,1,0,"","[10,9,1,4,18,3,3,12,12]","[[[0,74],1933,1494],[[0,98],0,1],[[3324001,[10,11],[10,11],1]],[3,1],[0],[6400101,[5,16]],[6401101,[18,6]],[""gongji"",1,2,1,1,500,[451,935]],[""fangyu"",2,2,1,1,500,[1620,350]]]",1,1,0
3,name,5,0,"","[11]","[[36001,0,0,0,0,4]]",1,0,0
4,name,5,0,"","[9,4]","[[[397,275],2000,1],[5,1]]",1,0,0
5,name,5,2000,"","[11]","[[36002,0,0,0,0,6]]",1,0,0
6,name,5,0,"","[9,4]","[[[0,98],1500,1],[7,1]]",1,0,0
7,name,5,1500,"","[19]","[[0]]",1,0,0
8,name,6,0,"[1,1]","[11]","[[36003,0,0,0,0,22]]",1,1,0
22,name,5,0,"","[11,4]","[[1000000,6,0,0,0,24],[23,1]]",1,0,0
23,name,5,3000,"","[20]","[[1]]",1,0,0
24,name,5,0,"","[5]","[[0]]",1,0,0
25,name,4,0,"[0,0]","[7]","[[3401024]]",1,1,0
31,name,6,0,"[0,1]","[6]","[[0]]",1,1,0
35,name,2,0,"[0,[5,16]]","[13]","[[1,1,500]]",1,1,0
36,name,2,0,"[0,[18,6]]","[13]","[[2,1,500]]",1,1,0
