model_id,quality,level,position,set_id,affix_num,resolve,basic_properties
6300001,1,1,1,6303001,0,"{""2102001"":[{""min"":1,""max"":5}]}","{""6200001"":30000,""6200002"":20000,""6200003"":20000}"
6300002,1,2,2,6303001,2,"{""2102001"":[{""min"":10,""max"":16}]}","{""6200001"":20000,""6200002"":20000,""6200003"":20000}"
6300003,2,3,3,0,1,"{""2102001"":[{""min"":20,""max"":25}]}","{""6200001"":20000,""6200002"":40000,""6200003"":20000}"
6300004,3,10,1,0,2,"{""2102001"":[{""min"":20,""max"":26}]}","{""6200001"":20000,""6200002"":20000,""6200003"":20000}"
6300005,4,15,2,0,3,"{""2102001"":[{""min"":20,""max"":27}]}","{""6200001"":20000,""6200002"":20000,""6200003"":60000}"
6300006,1,1,3,6303001,1,"{""2102001"":[{""min"":1,""max"":5}]}","{""6200001"":20000,""6200002"":20000,""6200003"":20000}"
6300007,1,1,3,6303001,1,"{""2102001"":[{""min"":1,""max"":6}]}","{""6200001"":20000,""6200002"":20000,""6200003"":20000}"
6300008,1,1,3,6303001,1,"{""2102001"":[{""min"":1,""max"":7}]}","{""6200001"":120000,""6200002"":20000,""6200003"":20000}"
6300009,1,1,1,6303002,2,"{""2102001"":[{""min"":1,""max"":8}]}","{""6200001"":20000,""6200002"":20000,""6200003"":20000}"
6300010,1,1,2,6303002,3,"{""2102001"":[{""min"":1,""max"":9}]}","{""6200001"":20000,""6200002"":20000,""6200003"":20000}"
6300011,1,1,3,6303002,0,"{""2102001"":[{""min"":1,""max"":10}]}","{""6200001"":20000,""6200002"":210000,""6200003"":20000}"
6300012,1,1,3,6303002,0,"{""2102001"":[{""min"":1,""max"":11}]}","{""6200001"":20000,""6200002"":20000,""6200003"":210000}"
6300013,1,1,3,6303002,0,"{""2102001"":[{""min"":1,""max"":11}]}","{""6200001"":210000,""6200002"":60000,""6200003"":20000}"
