id,name,trigger_type,delay,condition,effect_type,effect_params,times,open,status
2,name,1,0,"","[10]","[[[1377,156],2700,1800]]",1,1,0
4,name,1,0,"","[9,4,4,4,4,4,4]","[[[1377,697],0,2],[19,1],[20,1],[211,1],[22,1],[23,1],[24,1]]",1,1,0
19,name,5,0,"","[9]","[[[1377,697],2000,2]]",1,0,0
20,name,5,2000,"","[9]","[[[1950,519],1500,9]]",1,0,0
21,name,5,3500,"","[12]","[[""trap1"",1,2,1,1,500,[1945,525]]]",1,0,0
22,name,5,3500,"","[9]","[[[1950,519],3000,9]]",1,0,0
23,name,5,6500,"","[11]","[[16001,0,0,0,0,25]]",1,0,0
24,name,5,0,"","[18]","[[0]]",1,0,0
25,name,5,0,"","[4,9]","[[45,1],[[1950,519],1000,9]]",1,0,0
45,name,5,1000,"","[9,4]","[[[1377,697],1000,2],[26,1]]",1,0,0
26,name,5,1000,"","[19]","[[0]]",1,0,0
46,name,1,0,"","[1]","[[[3313001,[21,9],[21,9],1]]]",1,1,0
47,name,4,0,"[0,0]","[7]","[[3400106]]",1,1,0
49,name,7,0,"[1]","[11]","[[16002,0,0,0,0,50]]",1,1,0
50,name,5,0,"","[9,4,4,4,4,4,4,4,4,4]","[[[1950,519],0,9],[51,1],[64,1],[72,1],[79,1],[74,1],[75,1],[76,1],[78,1],[90,1]]",1,0,0
51,name,5,0,"","[9]","[[[1950,519],5000,9]]",1,0,0
64,name,5,1000,"","[1]","[[[3305204,[19,12],[19,12],2]]]",1,0,0
72,name,5,1500,"","[1]","[[[3307104,[22,13],[22,13],3]]]",1,0,0
79,name,5,2000,"","[1]","[[[3305204,[25,11],[25,11],4]]]",1,0,0
74,name,5,2500,"","[1]","[[[3307104,[24,6],[24,6],5]]]",1,0,0
75,name,5,3000,"","[1]","[[[3305204,[20,6],[20,6],6]]]",1,0,0
76,name,5,3500,"","[1]","[[[3307104,[17,9],[17,9],7]]]",1,0,0
78,name,5,0,"","[18]","[[0]]",1,0,0
90,name,5,5000,"","[11]","[[16003,0,0,0,0,109]]",1,0,0
109,name,5,0,"","[5]","[[0]]",1,0,0
111,name,6,0,"[0,1]","[6]","[[0]]",1,1,0
