recharge_id,icon,price_id,price_type,trading_id,type,value
1,2801001,1,1,2802001,1,0
2,2801002,1,1,2802002,2,3
3,2801003,1,1,2802003,3,0
4,2801004,1,1,2802004,4,0
5,2801005,1,1,2802005,5,0
6,2801005,1,1,2802005,6,10
7,2802001,2,1,2801001,6,10
8,2802002,2,1,2801002,4,0
9,2802003,2,1,2801003,4,0
10,2802004,2,1,2801004,4,0
11,2802005,2,1,2801005,4,0
12,2807001,3,2,2807001,6,10
13,2808001,4,1,2808001,6,10
14,2808002,4,1,2808002,4,0
15,2808003,4,1,2808003,4,0
16,2808004,4,1,2808004,4,0
17,2808005,4,1,2808005,4,0
18,2803001,5,2,2803001,6,10
