id,name,trigger_type,delay,condition,effect_type,effect_params,times,open,status
2,name,1,0,,[10],"[[[0,0],1500,800]]",1,1,0
3,name,1,0,,[9],"[[[0,0],0,1]]",1,1,0
35,name,1,0,,[1],"[[[3301103,[9,7],[12,7],0],[3301103,[9,6],[12,6],0],[3301103,[9,5],[12,5],0],[3301103,[8,7],[11,7],0],[3301103,[8,6],[11,6],0],[3301103,[8,5],[11,5],0]]]",1,1,0
5,name,1,0,,[11],"[[1001,0,0,0,0,10]]",1,1,0
10,name,5,0,,"[9,4]","[[[810,0],2000,8],[13,1]]",1,0,0
13,name,5,3000,,[11],"[[1002,0,0,0,0,18]]",1,0,0
18,name,5,0,,"[9,4]","[[[0,0],1000,1],[28,1]]",1,0,0
28,name,5,2000,,[11],"[[1003,0,0,0,0,0]]",1,0,0
21,name,6,0,"[0,1]",[6],[[0]],1,1,0
22,name,6,0,"[1,3]",[5],[[0]],1,1,0
25,name,4,0,"[2,0]",[7],[[3401013]],1,1,0
