tech_level_id,tech_effect,tech_class,tech_order,tech_type,tech_number,need_resource,levelup_time,level_need,level_open,need
"[1301001,0]",{},1,1,1,0,{},0,{},{},{}
"[1301001,1]","{""2500003"":0.01}",1,1,1,10,"{""1101001"":0,""1101002"":10000,""1101003"":10000}",5,{},{},"{""1903001"":1}"
"[1301001,2]","{""2500003"":0.02}",1,1,1,10,"{""1101001"":0,""1101002"":20000,""1101003"":20000}",10,{},{},"{""1903001"":2}"
"[1301001,3]","{""2500003"":0.03}",1,1,1,10,"{""1101001"":0,""1101002"":40000,""1101003"":40000}",15,{},{},"{""1903001"":3}"
"[1301001,4]","{""2500003"":0.04}",1,1,1,10,"{""1101001"":0,""1101002"":80000,""1101003"":80000}",20,{},{},"{""1903001"":4}"
"[1301001,5]","{""2500003"":0.05}",1,1,1,10,"{""1101001"":0,""1101002"":160000,""1101003"":160000}",25,{},{},"{""1903001"":5}"
"[1301001,6]","{""2500003"":0.06}",1,1,1,10,"{""1101001"":0,""1101002"":450000,""1101003"":450000}",30,{},{},"{""1903001"":6}"
"[1301001,7]","{""2500003"":0.07}",1,1,1,10,"{""1101001"":0,""1101002"":900000,""1101003"":900000}",35,{},{},"{""1903001"":7}"
"[1301001,8]","{""2500003"":0.08}",2,1,1,10,"{""1101001"":0,""1101002"":1510000,""1101003"":1510000}",40,{},{},"{""1903001"":8}"
"[1301001,9]","{""2500003"":0.09}",2,1,1,10,"{""1101001"":0,""1101002"":2330000,""1101003"":2330000}",45,{},{},"{""1903001"":9}"
"[1301001,10]","{""2500003"":0.10}",2,1,1,10,"{""1101001"":0,""1101002"":3400000,""1101003"":3400000}",50,{},{},"{""1903001"":10}"
"[1301001,11]","{""2500003"":0.11}",2,1,1,10,"{""1101001"":0,""1101002"":4710000,""1101003"":4710000}",55,{},{},"{""1903001"":11}"
"[1301001,12]","{""2500003"":0.12}",2,1,1,10,"{""1101001"":0,""1101002"":6350000,""1101003"":6350000}",60,{},{},"{""1903001"":12}"
"[1301001,13]","{""2500003"":0.13}",2,1,1,10,"{""1101001"":0,""1101002"":8330000,""1101003"":8330000}",65,{},{},"{""1903001"":13}"
"[1301001,14]","{""2500003"":0.14}",2,1,1,10,"{""1101001"":0,""1101002"":10690000,""1101003"":10690000}",70,{},{},"{""1903001"":14}"
"[1301001,15]","{""2500003"":0.15}",3,1,1,10,"{""1101001"":0,""1101002"":13530000,""1101003"":13530000}",75,{},{},"{""1903001"":15}"
"[1301001,16]","{""2500003"":0.16}",3,1,1,10,"{""1101001"":0,""1101002"":16820000,""1101003"":16820000}",80,{},{},"{""1903001"":16}"
"[1301001,17]","{""2500003"":0.17}",3,1,1,10,"{""1101001"":0,""1101002"":20710000,""1101003"":20710000}",85,{},{},"{""1903001"":17}"
"[1301001,18]","{""2500003"":0.18}",3,1,1,10,"{""1101001"":0,""1101002"":25200000,""1101003"":25200000}",90,{},{},"{""1903001"":18}"
"[1301001,19]","{""2500003"":0.19}",3,1,1,10,"{""1101001"":0,""1101002"":30320000,""1101003"":30320000}",95,{},{},"{""1903001"":19}"
"[1301001,20]","{""2500003"":0.20}",3,1,1,10,"{""1101001"":0,""1101002"":36170000,""1101003"":36170000}",100,{},{},"{""1903001"":20}"
"[1301001,21]","{""2500003"":0.21}",3,1,1,10,"{""1101001"":0,""1101002"":42850000,""1101003"":42850000}",105,{},{},"{""1903001"":21}"
"[1301001,22]","{""2500003"":0.22}",4,1,1,10,"{""1101001"":0,""1101002"":50330000,""1101003"":50330000}",110,{},{},"{""1903001"":22}"
"[1301001,23]","{""2500003"":0.23}",4,1,1,10,"{""1101001"":0,""1101002"":58830000,""1101003"":58830000}",115,{},{},"{""1903001"":23}"
"[1301001,24]","{""2500003"":0.24}",4,1,1,10,"{""1101001"":0,""1101002"":68270000,""1101003"":68270000}",120,{},{},"{""1903001"":24}"
"[1301001,25]","{""2500003"":0.25}",4,1,1,10,"{""1101001"":0,""1101002"":78870000,""1101003"":78870000}",125,{},{},"{""1903001"":25}"
"[1301001,26]","{""2500003"":0.26}",4,1,1,10,"{""1101001"":0,""1101002"":90620000,""1101003"":90620000}",130,{},{},"{""1903001"":26}"
"[1301001,27]","{""2500003"":0.27}",4,1,1,10,"{""1101001"":0,""1101002"":103590000,""1101003"":103590000}",135,{},{},"{""1903001"":27}"
"[1301001,28]","{""2500003"":0.28}",4,1,1,10,"{""1101001"":0,""1101002"":118000000,""1101003"":118000000}",140,{},{},"{""1903001"":28}"
"[1301001,29]","{""2500003"":0.29}",4,1,1,10,"{""1101001"":0,""1101002"":133800000,""1101003"":133800000}",145,{},{},"{""1903001"":29}"
"[1301001,30]","{""2500003"":0.30}",4,1,1,10,"{""1101001"":0,""1101002"":151170000,""1101003"":151170000}",150,{},{},"{""1903001"":30}"
"[1301002,0]",{},1,1,1,10,{},0,{},{},{}
"[1301002,1]","{""2500004"":0.01}",1,1,1,10,"{""1101001"":20000,""1101002"":0,""1101003"":20000}",5,{},{},"{""1903001"":1}"
"[1301002,2]","{""2500004"":0.02}",1,1,1,10,"{""1101001"":20000,""1101002"":0,""1101003"":20000}",10,{},{},"{""1903001"":2}"
"[1301002,3]","{""2500004"":0.03}",1,1,1,10,"{""1101001"":40000,""1101002"":0,""1101003"":40000}",15,{},{},"{""1903001"":3}"
"[1301002,4]","{""2500004"":0.04}",1,1,1,10,"{""1101001"":80000,""1101002"":0,""1101003"":80000}",20,{},{},"{""1903001"":4}"
"[1301002,5]","{""2500004"":0.05}",1,1,1,10,"{""1101001"":160000,""1101002"":0,""1101003"":160000}",25,{},{},"{""1903001"":5}"
"[1301002,6]","{""2500004"":0.06}",1,1,1,10,"{""1101001"":450000,""1101002"":0,""1101003"":450000}",30,{},{},"{""1903001"":6}"
"[1301002,7]","{""2500004"":0.07}",1,1,1,10,"{""1101001"":900000,""1101002"":0,""1101003"":900000}",35,{},{},"{""1903001"":7}"
"[1301002,8]","{""2500004"":0.08}",2,1,1,10,"{""1101001"":1510000,""1101002"":0,""1101003"":1510000}",40,{},{},"{""1903001"":8}"
"[1301002,9]","{""2500004"":0.09}",2,1,1,10,"{""1101001"":2330000,""1101002"":0,""1101003"":2330000}",45,{},{},"{""1903001"":9}"
"[1301002,10]","{""2500004"":0.10}",2,1,1,10,"{""1101001"":3400000,""1101002"":0,""1101003"":3400000}",50,{},{},"{""1903001"":10}"
"[1301002,11]","{""2500004"":0.11}",2,1,1,10,"{""1101001"":4710000,""1101002"":0,""1101003"":4710000}",55,{},{},"{""1903001"":11}"
"[1301002,12]","{""2500004"":0.12}",2,1,1,10,"{""1101001"":6350000,""1101002"":0,""1101003"":6350000}",60,{},{},"{""1903001"":12}"
"[1301002,13]","{""2500004"":0.13}",2,1,1,10,"{""1101001"":8330000,""1101002"":0,""1101003"":8330000}",65,{},{},"{""1903001"":13}"
"[1301002,14]","{""2500004"":0.14}",2,1,1,10,"{""1101001"":10690000,""1101002"":0,""1101003"":10690000}",70,{},{},"{""1903001"":14}"
"[1301002,15]","{""2500004"":0.15}",3,1,1,10,"{""1101001"":13530000,""1101002"":0,""1101003"":13530000}",75,{},{},"{""1903001"":15}"
"[1301002,16]","{""2500004"":0.16}",3,1,1,10,"{""1101001"":16820000,""1101002"":0,""1101003"":16820000}",80,{},{},"{""1903001"":16}"
"[1301002,17]","{""2500004"":0.17}",3,1,1,10,"{""1101001"":20710000,""1101002"":0,""1101003"":20710000}",85,{},{},"{""1903001"":17}"
"[1301002,18]","{""2500004"":0.18}",3,1,1,10,"{""1101001"":25200000,""1101002"":0,""1101003"":25200000}",90,{},{},"{""1903001"":18}"
"[1301002,19]","{""2500004"":0.19}",3,1,1,10,"{""1101001"":30320000,""1101002"":0,""1101003"":30320000}",95,{},{},"{""1903001"":19}"
"[1301002,20]","{""2500004"":0.20}",3,1,1,10,"{""1101001"":36170000,""1101002"":0,""1101003"":36170000}",100,{},{},"{""1903001"":20}"
"[1301002,21]","{""2500004"":0.21}",3,1,1,10,"{""1101001"":42850000,""1101002"":0,""1101003"":42850000}",105,{},{},"{""1903001"":21}"
"[1301002,22]","{""2500004"":0.22}",4,1,1,10,"{""1101001"":50330000,""1101002"":0,""1101003"":50330000}",110,{},{},"{""1903001"":22}"
"[1301002,23]","{""2500004"":0.23}",4,1,1,10,"{""1101001"":58830000,""1101002"":0,""1101003"":58830000}",115,{},{},"{""1903001"":23}"
"[1301002,24]","{""2500004"":0.24}",4,1,1,10,"{""1101001"":68270000,""1101002"":0,""1101003"":68270000}",120,{},{},"{""1903001"":24}"
"[1301002,25]","{""2500004"":0.25}",4,1,1,10,"{""1101001"":78870000,""1101002"":0,""1101003"":78870000}",125,{},{},"{""1903001"":25}"
"[1301002,26]","{""2500004"":0.26}",4,1,1,10,"{""1101001"":90620000,""1101002"":0,""1101003"":90620000}",130,{},{},"{""1903001"":26}"
"[1301002,27]","{""2500004"":0.27}",4,1,1,10,"{""1101001"":103590000,""1101002"":0,""1101003"":103590000}",135,{},{},"{""1903001"":27}"
"[1301002,28]","{""2500004"":0.28}",4,1,1,10,"{""1101001"":118000000,""1101002"":0,""1101003"":118000000}",140,{},{},"{""1903001"":28}"
"[1301002,29]","{""2500004"":0.29}",4,1,1,10,"{""1101001"":133800000,""1101002"":0,""1101003"":133800000}",145,{},{},"{""1903001"":29}"
"[1301002,30]","{""2500004"":0.30}",4,1,1,10,"{""1101001"":151170000,""1101002"":0,""1101003"":151170000}",150,{},{},"{""1903001"":30}"
"[1301003,0]",{},1,1,1,0,{},0,{},{},{}
"[1301003,1]","{""2500005"":0.01}",1,1,1,10,"{""1101001"":20000,""1101002"":20000,""1101003"":0}",5,{},{},"{""1903001"":1}"
"[1301003,2]","{""2500005"":0.02}",1,1,1,10,"{""1101001"":20000,""1101002"":20000,""1101003"":0}",10,{},{},"{""1903001"":2}"
