storage_level,levelup_time,need_resource,resource_max,need,prosperity,demolition
1,0,{},"{""1101001"":500000,""1101002"":20000,""1101003"":20000,""1102001"":10000,""1102002"":10000,""1102003"":10000,""1102004"":10000}","{""1901001"":0}",10,0
2,1,"{""1101001"":80000,""1101002"":30000,""1101003"":30000}","{""1101001"":500000,""1101002"":20000,""1101003"":20000,""1102001"":10000,""1102002"":10000,""1102003"":10000,""1102004"":10000}","{""1901001"":3}",11,0
3,3,"{""1101001"":100000,""1101002"":40000,""1101003"":40000}","{""1101001"":500000,""1101002"":20000,""1101003"":20000,""1102001"":10000,""1102002"":10000,""1102003"":10000,""1102004"":10000}","{""1901001"":6}",12,0
4,9,"{""1101001"":120000,""1101002"":50000,""1101003"":50000}","{""1101001"":500000,""1101002"":20000,""1101003"":20000,""1102001"":10000,""1102002"":10000,""1102003"":10000,""1102004"":10000}","{""1901001"":9}",13,0
5,27,"{""1101001"":140000,""1101002"":70000,""1101003"":70000}","{""1101001"":500000,""1101002"":20000,""1101003"":20000,""1102001"":10000,""1102002"":10000,""1102003"":10000,""1102004"":10000}","{""1901001"":12}",14,0
6,81,"{""1101001"":170000,""1101002"":90000,""1101003"":90000}","{""1101001"":500000,""1101002"":20000,""1101003"":20000,""1102001"":10000,""1102002"":10000,""1102003"":10000,""1102004"":10000}","{""1901001"":15}",15,0
7,243,"{""1101001"":200000,""1101002"":120000,""1101003"":120000}","{""1101001"":500000,""1101002"":20000,""1101003"":20000,""1102001"":10000,""1102002"":10000,""1102003"":10000,""1102004"":10000}","{""1901001"":18}",16,0
8,729,"{""1101001"":240000,""1101002"":160000,""1101003"":160000}","{""1101001"":500000,""1101002"":20000,""1101003"":20000,""1102001"":10000,""1102002"":10000,""1102003"":10000,""1102004"":10000}","{""1901001"":21}",17,0
9,2187,"{""1101001"":300000,""1101002"":200000,""1101003"":200000}","{""1101001"":500000,""1101002"":20000,""1101003"":20000,""1102001"":10000,""1102002"":10000,""1102003"":10000,""1102004"":10000}","{""1901001"":24}",18,0
10,6561,"{""1101001"":400000,""1101002"":250000,""1101003"":250000}","{""1101001"":500000,""1101002"":20000,""1101003"":20000,""1102001"":10000,""1102002"":10000,""1102003"":10000,""1102004"":10000}","{""1901001"":27}",19,0
