birth_point_id,x,y
1,12,616
2,3,624
3,22,624
4,9,634
5,17,634
6,24,634
7,16,582
8,25,582
9,8,592
10,18,591
11,6,602
12,20,602
13,12,552
14,3,560
15,22,560
16,9,570
17,17,570
18,24,570
19,16,518
20,25,518
21,8,528
22,18,527
23,6,538
24,20,538
25,12,488
26,3,496
27,22,496
28,9,506
29,17,506
30,24,506
31,16,454
32,25,454
33,8,464
34,18,463
35,6,474
36,20,474
37,12,424
38,3,432
39,22,432
40,9,442
41,17,442
42,24,442
43,16,390
44,25,390
45,8,400
46,18,399
47,6,410
48,20,410
49,12,360
50,3,368
51,22,368
52,9,378
53,17,378
54,24,378
55,16,326
56,25,326
57,8,336
58,18,335
59,6,346
60,20,346
61,12,296
62,3,304
63,22,304
64,9,314
65,17,314
66,24,314
67,16,262
68,25,262
69,8,272
70,18,271
71,6,282
72,20,282
73,12,232
74,3,240
75,22,240
76,9,250
77,17,250
78,24,250
79,16,198
80,25,198
81,8,208
82,18,207
83,6,218
84,20,218
85,12,168
86,3,176
87,22,176
88,9,186
89,17,186
90,24,186
91,16,134
92,25,134
93,8,144
94,18,143
95,6,154
96,20,154
97,12,104
98,3,112
99,22,112
100,9,122
101,17,122
102,24,122
103,16,70
104,25,70
105,8,80
106,18,79
107,6,90
108,20,90
109,12,40
110,3,48
111,22,48
112,9,58
113,17,58
114,24,58
115,16,6
116,25,6
117,8,16
118,18,15
119,6,26
120,20,26
121,46,614
122,55,614
123,38,624
124,48,623
125,36,634
126,50,634
127,42,584
128,33,592
129,52,592
130,39,602
131,47,602
132,54,602
133,46,550
134,55,550
135,38,560
136,48,559
137,36,570
138,50,570
139,42,520
140,33,528
141,52,528
142,39,538
143,47,538
144,54,538
145,46,486
146,55,486
147,38,496
148,48,495
149,36,506
150,50,506
151,42,456
152,33,464
153,52,464
154,39,474
155,47,474
156,54,474
157,46,422
158,55,422
159,38,432
160,48,431
161,36,442
162,50,442
163,42,392
164,33,400
165,52,400
166,39,410
167,47,410
168,54,410
169,46,358
170,55,358
171,38,368
172,48,367
173,36,378
174,50,378
175,42,328
176,33,336
177,52,336
178,39,346
179,47,346
180,54,346
181,46,294
182,55,294
183,38,304
184,48,303
185,36,314
186,50,314
187,42,264
188,33,272
189,52,272
190,39,282
191,47,282
192,54,282
193,46,230
194,55,230
195,38,240
196,48,239
197,36,250
198,50,250
199,42,200
200,33,208
201,52,208
202,39,218
203,47,218
204,54,218
205,46,166
206,55,166
207,38,176
208,48,175
209,36,186
210,50,186
211,42,136
212,33,144
213,52,144
214,39,154
215,47,154
216,54,154
217,46,102
218,55,102
219,38,112
220,48,111
221,36,122
222,50,122
223,42,72
224,33,80
225,52,80
226,39,90
227,47,90
228,54,90
229,46,38
230,55,38
231,38,48
232,48,47
233,36,58
234,50,58
235,42,8
236,33,16
237,52,16
238,39,26
239,47,26
240,54,26
241,72,616
242,63,624
243,82,624
244,69,634
245,77,634
246,84,634
247,76,582
248,85,582
249,68,592
250,78,591
251,66,602
252,80,602
253,72,552
254,63,560
255,82,560
256,69,570
257,77,570
258,84,570
259,76,518
260,85,518
261,68,528
262,78,527
263,66,538
264,80,538
265,72,488
266,63,496
267,82,496
268,69,506
269,77,506
270,84,506
271,76,454
272,85,454
273,68,464
274,78,463
275,66,474
276,80,474
277,72,424
278,63,432
279,82,432
280,69,442
281,77,442
282,84,442
283,76,390
284,85,390
285,68,400
286,78,399
287,66,410
288,80,410
289,72,360
290,63,368
291,82,368
292,69,378
293,77,378
