id,arm_type,force_mnax,attack,defence,hp,attack_speed,attack_plus,shoot_range,building_visual_field,arm_dodge,arm_crit,arm_crit_damege,first_attack,building_recover,arm_attack_type,arm_def_type
1206500,1205000,1,0,0,15000,0,0,0,0,0,0,0,0,0.02,2,4
1206501,1205000,1,3060,10,15000,1,1,4,5,0,0,1,1,0.02,2,4
1206502,1205000,1,12690,20,40500,1,1,4,5,0,0,1,1,0.02,2,4
1206503,1205000,1,43920,30,120000,1,1,4,5,0,0,1,1,0.02,2,4
1208500,1203001,1,0,0,15000,0,0,0,0,0,0,0,0,0.02,2,4
1208501,1203001,1,0,10,15000,1,1,4,5,0,0,1,1,0.02,2,4
1208502,1203001,1,0,20,40500,1,1,4,5,0,0,1,1,0.02,2,4
1208503,1203001,1,0,30,120000,1,1,4,5,0,0,1,1,0.02,2,4
1205500,1206000,1,0,0,10000,0,0,0,0,0,0,0,0,0.02,2,4
1205501,1206000,1,0,0,10000,1,1,4,5,0,0.07,1,1,0.02,2,4
1205502,1206000,1,0,0,20000,1,1,4,5,0,0.08,2,1,0.02,2,4
1205503,1206000,1,0,0,30000,1,1,4,5,0,0.09,2,1,0.02,2,4
1205504,1206000,1,0,0,40000,1,1,4,5,0,0.1,2,1,0.02,2,4
1205505,1206000,1,0,0,50000,1,1,4,5,0,0.11,2,1,0.02,2,4
1205506,1206000,1,0,0,60000,1,1,4,5,0,0.12,2,1,0.02,2,4
1205507,1206000,1,0,0,70000,1,1,4,5,0,0.13,2,1,0.02,2,4
1205508,1206000,1,0,0,80000,1,1,4,5,0,0.14,2,1,0.02,2,4
1205509,1206000,1,0,0,90000,1,1,4,5,0,0.15,2,1,0.02,2,4
1205510,1206000,1,0,0,100000,1,1,4,5,0,0.16,2,1,0.02,2,4
1205511,1206000,1,0,0,110000,1,1,4,5,0,0.17,2,1,0.02,2,4
1205512,1206000,1,0,0,120000,1,1,4,5,0,0.18,2,1,0.02,2,4
1205513,1206000,1,0,0,130000,1,1,4,5,0,0.19,2,1,0.02,2,4
1205514,1206000,1,0,0,140000,1,1,4,5,0,0.2,2,1,0.02,2,4
1205515,1206000,1,0,0,150000,1,1,4,5,0,0.21,2,1,0.02,2,4
1205516,1206000,1,0,0,160000,1,1,4,5,0,0.22,2,1,0.02,2,4
1205517,1206000,1,0,0,170000,1,1,4,5,0,0.23,2,1,0.02,2,4
1205518,1206000,1,0,0,180000,1,1,4,5,0,0.24,2,1,0.02,2,4
1205519,1206000,1,0,0,190000,1,1,4,5,0,0.25,2,1,0.02,2,4
1205520,1206000,1,0,0,200000,1,1,4,5,0,0.26,2,1,0.02,2,4
1205521,1206000,1,0,0,210000,1,1,4,5,0,0.27,2,1,0.02,2,4
1205522,1206000,1,0,0,220000,1,1,4,5,0,0.28,2,1,0.02,2,4
1205523,1206000,1,0,0,230000,1,1,4,5,0,0.29,2,1,0.02,2,4
1205524,1206000,1,0,0,240000,1,1,4,5,0,0.3,2,1,0.02,2,4
1205525,1206000,1,0,0,250000,1,1,4,5,0,0.31,2,1,0.02,2,4
1205526,1206000,1,0,0,260000,1,1,4,5,0,0.32,2,1,0.02,2,4
1205527,1206000,1,0,0,270000,1,1,4,5,0,0.33,2,1,0.02,2,4
1205528,1206000,1,0,0,280000,1,1,4,5,0,0.34,2,1,0.02,2,4
1205529,1206000,1,0,0,290000,1,1,4,5,0,0.35,2,1,0.02,2,4
1205530,1206000,1,0,0,300000,1,1,4,5,0,0.36,2,1,0.02,2,4
